iter,CFL,dt_min,dt_avg,R2_rho,R2_rhou,R2_rhov,R2_rhoE,CL,CD,CM
870,7.2,2.64219e-06,0.00450221,1.21622e-05,7.82686e-06,7.29794e-06,3.97678e-05,-1.60953e-15,0.0043208,0.000254979
880,7.2,2.64045e-06,0.00450217,1.11569e-05,7.46997e-06,7.54262e-06,3.52396e-05,1.48693e-15,-0.00191938,-0.000113266
890,7.2,2.64292e-06,0.00450224,1.10554e-05,7.88069e-06,7.53839e-06,3.50143e-05,1.17561e-15,-0.0041604,-0.000245514
900,7.2,2.64509e-06,0.00450226,1.18177e-05,8.45977e-06,6.93402e-06,3.827e-05,-1.60918e-16,-0.00394094,-0.000232563
910,7.2,2.64379e-06,0.00450223,1.17178e-05,7.28828e-06,7.12508e-06,3.7921e-05,1.49138e-15,-0.00322895,-0.000190547
920,7.2,2.64381e-06,0.0045022,1.17009e-05,7.76707e-06,7.70697e-06,3.80871e-05,-1.98786e-15,-0.00377077,-0.000222521
930,7.2,2.64246e-06,0.00450222,1.17374e-05,1.03669e-05,9.22268e-06,3.95661e-05,9.94464e-15,-0.00412809,-0.000243607
940,7.2,2.643e-06,0.00450219,1.25059e-05,1.01345e-05,6.87537e-06,4.32591e-05,3.63125e-15,0.00609822,0.000359869
950,7.2,2.64411e-06,0.00450222,1.17631e-05,1.04833e-05,8.04222e-06,3.9353e-05,-4.26084e-16,0.00807831,0.000476718
960,7.2,2.64392e-06,0.00450222,1.13762e-05,9.08543e-06,9.31724e-06,3.65618e-05,-1.02471e-14,0.00566824,0.000334495
970,7.2,2.64003e-06,0.00450217,1.23861e-05,7.87772e-06,7.59681e-06,3.90593e-05,-1.25776e-15,-0.0033235,-0.000196127
980,7.2,2.64265e-06,0.00450218,1.26306e-05,7.4178e-06,7.44837e-06,3.91175e-05,1.88397e-15,-0.0063959,-0.000377435
990,7.2,2.64111e-06,0.00450219,1.22307e-05,7.54209e-06,7.10039e-06,3.85092e-05,-6.29718e-15,-0.0030055,-0.000177361
1000,7.2,2.64268e-06,0.00450223,1.13305e-05,7.74417e-06,5.91808e-06,3.72996e-05,-5.93988e-15,0.000603626,3.56212e-05
1010,7.2,2.64205e-06,0.00450219,9.59543e-06,7.21754e-06,6.96082e-06,3.1183e-05,1.26676e-14,0.000716196,4.22643e-05
1020,7.2,2.64323e-06,0.0045022,9.72552e-06,7.55752e-06,6.38066e-06,3.24836e-05,1.82177e-15,0.00163599,9.65433e-05
1030,7.2,2.64351e-06,0.00450225,9.12557e-06,5.7073e-06,7.18002e-06,2.87677e-05,-7.82082e-15,-0.00111576,-6.58435e-05
1040,7.2,2.64314e-06,0.00450226,8.93648e-06,5.32443e-06,6.17214e-06,2.89086e-05,9.02244e-16,0.00226478,0.00013365
1050,7.2,2.64426e-06,0.00450227,7.23811e-06,6.49514e-06,6.23616e-06,2.31111e-05,-1.1894e-14,0.00235616,0.000139042
1060,7.2,2.64314e-06,0.00450228,8.40001e-06,5.69687e-06,5.88259e-06,2.82715e-05,-1.44844e-15,0.000143778,8.48463e-06
1070,7.2,2.64149e-06,0.00450219,8.28803e-06,5.55388e-06,4.45609e-06,2.70577e-05,4.07765e-15,-0.00333862,-0.000197019
1080,7.2,2.64362e-06,0.0045022,7.38934e-06,4.99088e-06,6.55725e-06,2.29246e-05,2.89884e-15,-0.00260369,-0.000153649
1090,7.2,2.642e-06,0.00450219,7.78032e-06,4.94777e-06,6.1734e-06,2.43333e-05,-5.27856e-15,-0.00145386,-8.57951e-05
1100,7.2,2.64394e-06,0.00450222,8.5157e-06,4.99911e-06,6.07146e-06,2.71609e-05,2.50055e-15,7.81242e-05,4.61027e-06
1110,7.2,2.64393e-06,0.00450221,8.52872e-06,5.18448e-06,6.14899e-06,2.64162e-05,-1.15529e-15,-0.000770253,-4.54542e-05
1120,7.2,2.64256e-06,0.00450217,8.42496e-06,5.45784e-06,5.12806e-06,2.69465e-05,7.80353e-16,0.00451397,0.000266379
1130,7.2,2.64264e-06,0.00450219,8.27569e-06,5.71672e-06,5.56358e-06,2.65031e-05,5.67043e-16,0.00159592,9.41783e-05
1140,7.2,2.64271e-06,0.00450221,7.94663e-06,6.20792e-06,5.30043e-06,2.65514e-05,1.72857e-16,-0.00139292,-8.21994e-05
1150,7.2,2.64247e-06,0.0045022,5.89354e-06,6.06735e-06,6.77576e-06,1.92164e-05,2.37527e-15,0.00150834,8.90102e-05
1160,7.2,2.64176e-06,0.00450222,7.71961e-06,5.74872e-06,4.69334e-06,2.69318e-05,-2.96228e-15,-0.00265428,-0.000156634
1170,7.2,2.64334e-06,0.00450221,5.62282e-06,6.54533e-06,6.60841e-06,1.81159e-05,-9.05274e-16,-0.000630233,-3.71913e-05
1180,7.2,2.64252e-06,0.00450219,7.32983e-06,4.75814e-06,5.96762e-06,2.47587e-05,-5.27928e-15,-0.00188255,-0.000111093
1190,7.2,2.64219e-06,0.00450224,7.95541e-06,4.07607e-06,3.981e-06,2.61848e-05,2.59304e-15,-0.0032136,-0.000189641
1200,7.2,2.64375e-06,0.00450224,7.1947e-06,4.85503e-06,5.25248e-06,2.28405e-05,-4.15428e-15,0.00154289,9.10493e-05
1210,7.2,2.64364e-06,0.00450224,7.37684e-06,4.90744e-06,5.1584e-06,2.33957e-05,-7.02442e-15,0.00257462,0.000151934
1220,7.2,2.64317e-06,0.0045022,7.35243e-06,4.79419e-06,4.24893e-06,2.36875e-05,7.6157e-15,0.000818215,4.82846e-05
1230,7.2,2.64171e-06,0.00450221,6.39599e-06,4.61509e-06,5.06559e-06,2.04942e-05,-1.65533e-15,0.00119403,7.04625e-05
1240,7.2,2.64222e-06,0.00450223,6.55927e-06,5.33792e-06,4.54937e-06,2.20251e-05,-4.30949e-15,0.000488562,2.88311e-05
1250,7.2,2.64353e-06,0.00450223,6.27832e-06,4.83729e-06,5.43429e-06,2.09129e-05,-4.89881e-16,-0.00126363,-7.45697e-05
1260,7.2,2.64261e-06,0.00450222,6.2547e-06,4.74884e-06,5.10413e-06,2.07037e-05,-7.30901e-15,0.00138956,8.20006e-05
1270,7.2,2.64347e-06,0.00450222,6.05131e-06,4.55086e-06,4.83744e-06,1.9357e-05,-3.51934e-15,-0.00111611,-6.58641e-05
