# Iteration    L2[rho]         L2[rhou]        L2[rhov]        L2[rhoE]        L2_total
# ----------------------------------------------------------------------------------------------------
    1360  5.419130021764e-06  3.619372866359e-06  3.893613815549e-06  1.734903773802e-05  1.893716370311e-05
    1370  5.276511204680e-06  3.740922240615e-06  3.439756711604e-06  1.646880026480e-05  1.802468801673e-05
    1380  5.213577118333e-06  3.602033529509e-06  3.203333428327e-06  1.740247426020e-05  1.879530492827e-05
    1390  4.253545513146e-06  3.799284548523e-06  4.089772824465e-06  1.375056138293e-05  1.543798538070e-05
    1400  4.721841117120e-06  3.552322338483e-06  3.016040703398e-06  1.590754767155e-05  1.723546784915e-05
    1410  4.287892346640e-06  3.700131011585e-06  4.386425139774e-06  1.382693057969e-05  1.557246689005e-05
    1420  5.516440688157e-06  3.052843239820e-06  2.624421483859e-06  1.827113220302e-05  1.950571274827e-05
    1430  4.860401096182e-06  3.511513640195e-06  3.503165289707e-06  1.537285980109e-05  1.686864583694e-05
    1440  5.069539079540e-06  3.132535655038e-06  3.197021740323e-06  1.579045405666e-05  1.717767136235e-05
    1450  5.206185462108e-06  3.104165438445e-06  2.813603572892e-06  1.614369444701e-05  1.747213340148e-05
    1460  4.941400521206e-06  3.314417253809e-06  3.204539737751e-06  1.535153727241e-05  1.677323977055e-05
    1470  5.032410616933e-06  3.262757543395e-06  3.077349536778e-06  1.597689338182e-05  1.734075966358e-05
    1480  4.612387582252e-06  2.936341782578e-06  3.458895828346e-06  1.485879687029e-05  1.620629590798e-05
    1490  4.496879008327e-06  3.236257897863e-06  3.370698234195e-06  1.453916265631e-05  1.591992912452e-05
    1500  4.001102094862e-06  3.107293530017e-06  2.748014417398e-06  1.322785122354e-05  1.442885034525e-05
    1510  4.106299747181e-06  3.044012055528e-06  2.877343774922e-06  1.376131967327e-05  1.495930256920e-05
    1520  3.989667006051e-06  3.023768376044e-06  2.900761938851e-06  1.285219063973e-05  1.409446139720e-05
    1530  4.042467035576e-06  2.850982432502e-06  3.780830329270e-06  1.313425022536e-05  1.453522781126e-05
    1540  4.758166178225e-06  2.572982549373e-06  2.780669120771e-06  1.573710581360e-05  1.687154423064e-05
    1550  4.266255680983e-06  3.315827501607e-06  3.057821599979e-06  1.365990362128e-05  1.500462893363e-05
    1560  4.333938846766e-06  2.983272214680e-06  2.465255985140e-06  1.424332841646e-05  1.538287458461e-05
    1570  4.291339295357e-06  2.566995500434e-06  2.733156552529e-06  1.359852381708e-05  1.474432275798e-05
    1580  4.106192671148e-06  2.578884034241e-06  3.383623880595e-06  1.275522643270e-05  1.405902461159e-05
    1590  4.445073807568e-06  2.558079106674e-06  3.008640109914e-06  1.440073917137e-05  1.557997605465e-05
    1600  4.240933264072e-06  2.860342320493e-06  3.407470495526e-06  1.344241743350e-05  1.478095107817e-05
    1610  4.492176099013e-06  3.302908755562e-06  2.917606753338e-06  1.480847099701e-05  1.609012413838e-05
    1620  3.537820935376e-06  3.540863820060e-06  2.957137471130e-06  1.166359949316e-05  1.303219508460e-05
    1630  4.136247652565e-06  3.254709197790e-06  2.519885067492e-06  1.449072647849e-05  1.562154445736e-05
